1	2	102
2	6	22
2	3	120
3	4	100
3	5	190
3	6	140
4	12	51
4	5	92
5	13	64
6	7	120
6	10	27
6	9	46
7	8	59
7	14	50
8	9	28
8	15	60
159	160	74
9	10	22
10	11	23
12	16	40
13	17	35
14	15	51
14	24	53
15	18	23
16	22	95
16	59	150
17	23	36
17	96	200
19	20	10
20	21	20
20	30	15
21	22	10
21	3	140
22	16	95
24	25	40
24	37	130
25	26	45
26	27	42
26	31	40
27	28	20
28	29	20
29	30	42
29	32	35
30	33	20
32	36	20
34	43	83
35	36	120
35	39	20
36	41	45
37	38	40
37	44	100
38	39	15
38	45	110
39	40	25
40	41	94
40	45	75
41	42	15
42	43	92
42	50	40
43	57	25
44	46	87
44	75	32
45	46	15
46	47	50
46	74	50
47	48	20
48	49	25
48	52	30
48	69	20
49	50	56
49	51	32
50	56	44
51	52	20
51	54	35
52	53	30
52	68	20
53	54	18
53	63	15
54	55	20
55	56	35
56	57	35
57	58	30
58	59	36
59	60	40
60	61	83
61	62	22
62	85	60
63	64	26
64	65	25
65	66	15
65	82	53
66	67	24
66	72	25
67	68	26
67	70	25
68	69	25
69	70	25
70	71	10
71	72	18
72	73	36
72	80	59
73	79	32
73	74	40
74	75	87
75	76	40
76	77	50
76	79	50
77	78	50
77	100	140
78	79	50
78	80	58
80	81	30
80	103	76
81	82	20
81	105	40
82	83	40
83	84	30
83	107	40
84	85	51
85	86	30
85	118	45
85	86	40
86	87	20
86	119	62
87	88	35
87	120	60
88	89	30
88	121	60
89	90	45
90	91	30
91	92	87
91	122	51
92	93	40
93	94	50
94	95	15
95	96	50
94	122	230
96	97	110
97	98	20
98	99	50
100	101	130
100	156	110
101	102	35
101	112	50
102	103	35
102	111	50
103	104	35
104	105	40
104	110	20
105	106	25
106	107	32
106	110	40
107	108	100
107	109	74
108	109	32
108	113	40
109	111	32
110	111	35
111	112	40
112	113	65
113	114	42
114	115	20
114	147	10
115	116	20
116	117	30
117	118	25
117	119	30
120	121	22
122	123	32
123	124	56
124	125	18
125	126	72
125	135	20
126	127	32
126	132	30
127	128	47
128	129	30
128	160	94
129	130	40
129	141	15
130	131	15
130	140	10
131	132	26
131	138	26
132	133	28
133	138	26
133	134	10
134	135	110
135	136	30
136	137	47
136	146	47
137	145	22
137	144	34
138	139	26
139	145	15
139	140	20
139	142	35
140	141	35
141	142	20
142	143	15
143	144	22
143	145	30
146	150	39
147	148	28
148	149	13
149	150	41
150	151	150
151	152	94
151	157	48
152	153	80
153	154	47
153	156	260
154	155	120
155	156	62
157	158	63
158	159	40
